# Ne(3P) + OCS interaction potential, (2)^3A' surface, from Proj-EOM-EE-CCSD / d-aug-cc-pVTZ  
# Potential expanded in terms of Legendre polynomials 
# Below are Legendre radial functions from L = 0 to L = 4    
# All data are in atomic units (Bohr / Hartree)
# 
# R       L = 0        L = 1        L = 2        L = 3        L = 4
 16.74   -2.528E-05    1.999E-06   -1.214E-05   -1.908E-07   -1.196E-06 
 16.82   -2.455E-05    1.889E-06   -1.189E-05   -1.951E-07   -1.016E-06 
 16.89   -2.385E-05    1.794E-06   -1.164E-05   -1.950E-07   -8.516E-07 
 16.97   -2.318E-05    1.708E-06   -1.139E-05   -1.910E-07   -7.040E-07 
 17.05   -2.253E-05    1.630E-06   -1.114E-05   -1.838E-07   -5.714E-07 
 17.12   -2.190E-05    1.555E-06   -1.089E-05   -1.743E-07   -4.527E-07 
 17.20   -2.130E-05    1.480E-06   -1.065E-05   -1.630E-07   -3.464E-07 
 17.27   -2.072E-05    1.404E-06   -1.040E-05   -1.507E-07   -2.515E-07 
 17.35   -2.016E-05    1.326E-06   -1.015E-05   -1.378E-07   -1.670E-07 
 17.42   -1.962E-05    1.247E-06   -9.903E-06   -1.246E-07   -9.204E-08 
 17.50   -1.910E-05    1.167E-06   -9.656E-06   -1.113E-07   -2.592E-08 
 17.57   -1.860E-05    1.088E-06   -9.409E-06   -9.820E-08    3.209E-08 
 17.65   -1.811E-05    1.010E-06   -9.166E-06   -8.529E-08    8.262E-08 
 17.73   -1.763E-05    9.355E-07   -8.925E-06   -7.240E-08    1.263E-07 
 17.80   -1.717E-05    8.625E-07   -8.685E-06   -6.017E-08    1.637E-07 
 17.88   -1.672E-05    7.987E-07   -8.448E-06   -4.820E-08    1.954E-07 
 17.95   -1.629E-05    7.399E-07   -8.217E-06   -3.649E-08    2.219E-07 
 18.03   -1.586E-05    6.857E-07   -7.986E-06   -2.500E-08    2.439E-07 
 18.10   -1.545E-05    6.370E-07   -7.762E-06   -1.371E-08    2.619E-07 
 18.18   -1.504E-05    5.928E-07   -7.544E-06   -2.617E-09    2.764E-07 
 18.25   -1.465E-05    5.536E-07   -7.330E-06    8.310E-09    2.882E-07 
 18.33   -1.426E-05    5.185E-07   -7.122E-06    1.908E-08    2.976E-07 
 18.41   -1.388E-05    4.871E-07   -6.917E-06    2.969E-08    3.053E-07 
 18.48   -1.352E-05    4.584E-07   -6.722E-06    4.014E-08    3.118E-07 
 18.56   -1.317E-05    4.321E-07   -6.534E-06    5.043E-08    3.173E-07 
